model_name,iterations,Output_Distance_ms_PyTorch,Output_Distance_PyTorch_ONNX,Output_Distance_ms_ONNX
resnet50,5,4.5052876,4.3146915,6.3699603
resnet50,10,3.9079566,4.1082487,5.9209747
resnet50,15,3.5245414,4.7907805,6.244745
resnet50,20,4.655469,5.926998,7.7748384
resnet50,25,4.2142706,5.450236,6.0249376
resnet50,30,4.4010415,3.6741283,5.4568734
resnet50,35,4.3866725,3.250024,6.549492
resnet50,40,4.2846217,4.179177,5.9031153
resnet50,45,3.8927207,3.925054,6.253999
resnet50,50,3.8189569,4.292058,7.4009666
resnet50,55,4.030716,4.333604,6.7873697
resnet50,60,4.3225503,3.6205878,6.7637725
resnet50,65,4.6821127,2.3374982,4.507965
resnet50,70,4.6988688,2.8379045,5.499253
resnet50,75,2.8837872,1.9558532,3.965781
resnet50,80,2.9923077,1.8285472,4.494421
resnet50,85,2.9726348,2.9538178,5.727586
resnet50,90,2.9929821,3.1522355,5.9280825
resnet50,95,2.8487852,1.4506522,3.3583627
resnet50,100,2.8033268,3.0703328,5.12476
unet,5,0.0017834011,2.9812987,2.979534
unet,10,0.00056229695,0.7208807,0.7203527
unet,15,0.0001605963,0.43718147,0.43722567
unet,20,0.00013541397,0.71693426,0.71682703
unet,25,7.234933e-05,0.7140848,0.71406347
unet,30,5.8279104e-05,0.764691,0.76471907
unet,35,4.8472277e-05,0.7555074,0.75552297
unet,40,5.1888586e-05,0.7787688,0.778761
unet,45,4.5815636e-05,0.40143234,0.4013962
unet,50,3.759253e-05,0.06412591,0.064144775
unet,55,2.6321319e-05,0.03856269,0.038547788
unet,60,2.3897313e-05,0.036640827,0.036651198
unet,65,3.1530413e-05,0.037856687,0.037875593
unet,70,3.3552595e-05,0.040396318,0.040422514
unet,75,4.9691185e-05,0.03788944,0.03788007
unet,80,2.2020311e-05,0.029191911,0.029178113
unet,85,3.2604905e-05,0.045323595,0.045305073
unet,90,3.2344236e-05,0.043466747,0.043445695
unet,95,4.7231555e-05,0.018785346,0.018814784
unet,100,4.796984e-05,0.018735303,0.018768178
SSDresnet50fpn,5,8.3322615e-05,0.500029,0.5000302
SSDresnet50fpn,10,8.293945e-05,0.5000288,0.5000301
SSDresnet50fpn,15,8.293945e-05,0.5000288,0.5000301
SSDresnet50fpn,20,8.293945e-05,0.5000288,0.5000301
SSDresnet50fpn,25,8.9236375e-05,0.5000314,0.500034
SSDresnet50fpn,30,8.9236375e-05,0.5000314,0.500034
SSDresnet50fpn,35,9.195658e-05,0.50003266,0.50003207
SSDresnet50fpn,40,9.625227e-05,0.50003046,0.50003
SSDresnet50fpn,45,0.00010345263,0.5000288,0.50002825
SSDresnet50fpn,50,0.00010345263,0.5000288,0.50002825
SSDresnet50fpn,55,9.404951e-05,0.50003844,0.50003844
SSDresnet50fpn,60,8.786206e-05,0.5000299,0.5000303
SSDresnet50fpn,65,8.786206e-05,0.5000299,0.5000303
SSDresnet50fpn,70,8.786206e-05,0.5000299,0.5000303
SSDresnet50fpn,75,8.786206e-05,0.5000299,0.5000303
SSDresnet50fpn,80,8.786206e-05,0.5000299,0.5000303
SSDresnet50fpn,85,8.604967e-05,0.50002754,0.5000286
SSDresnet50fpn,90,8.74397e-05,0.500027,0.5000286
SSDresnet50fpn,95,8.74397e-05,0.500027,0.5000286
SSDresnet50fpn,100,8.74397e-05,0.500027,0.5000286
deeplabv3,5,1.3876579,-100.0,-100.0
deeplabv3,10,1.3645371,-100.0,-100.0
deeplabv3,15,1.2257599,-100.0,-100.0
deeplabv3,20,1.2534775,-100.0,-100.0
deeplabv3,25,1.2722194,-100.0,-100.0
deeplabv3,30,1.2042257,-100.0,-100.0
deeplabv3,35,1.1985651,-100.0,-100.0
deeplabv3,40,1.2095464,-100.0,-100.0
deeplabv3,45,1.2057741,-100.0,-100.0
deeplabv3,50,1.2399946,-100.0,-100.0
deeplabv3,55,1.2493961,-100.0,-100.0
deeplabv3,60,1.2612063,-100.0,-100.0
deeplabv3,65,1.2689365,-100.0,-100.0
deeplabv3,70,1.2456657,-100.0,-100.0
deeplabv3,75,1.2839243,-100.0,-100.0
deeplabv3,80,1.2889307,-100.0,-100.0
deeplabv3,85,1.2724735,-100.0,-100.0
deeplabv3,90,1.2372066,-100.0,-100.0
deeplabv3,95,1.2420709,-100.0,-100.0
deeplabv3,100,1.2261416,-100.0,-100.0
